date,SPY_close,QQQ_close
2025-07-30,620.0,554.0
2025-07-31,620.91,550.83
2025-08-01,622.97,555.24
2025-08-04,625.15,557.65
2025-08-05,624.04,557.59
2025-08-06,625.12,562.95
2025-08-07,628.48,559.99
2025-08-08,628.55,562.71
2025-08-11,628.08,564.85
2025-08-12,630.43,568.04
2025-08-13,630.25,565.3
2025-08-14,631.33,570.32
2025-08-15,633.0,570.0
2025-08-18,631.32,569.2
2025-08-19,632.31,571.86
2025-08-20,634.54,572.08
2025-08-21,634.71,571.54
2025-08-22,637.15,573.1
2025-08-25,636.34,573.05
2025-08-26,636.45,574.36
2025-08-27,640.87,575.75
2025-08-28,639.46,577.68
2025-08-29,640.59,574.22
2025-09-01,639.42,579.67
2025-09-02,641.3,574.38
2025-09-03,642.89,577.58
2025-09-04,642.02,579.25
2025-09-05,644.73,579.41
2025-09-08,644.23,578.7
2025-09-09,645.37,579.9
2025-09-10,645.72,580.08
2025-09-11,649.65,580.54
2025-09-12,648.0,582.0
2025-09-15,647.33,583.32
2025-09-16,650.47,582.59
2025-09-17,648.51,585.71
2025-09-18,651.07,585.65
2025-09-19,648.95,587.19
2025-09-22,650.47,587.72
2025-09-23,653.16,586.38
2025-09-24,654.57,587.58
2025-09-25,654.52,590.3
2025-09-26,654.85,590.9
2025-09-29,655.31,590.77
2025-09-30,654.46,591.77
2025-10-01,656.15,594.29
2025-10-02,657.19,592.32
2025-10-03,659.89,594.81
2025-10-06,659.65,594.5
2025-10-07,657.57,595.28
2025-10-08,661.03,598.04
2025-10-09,660.79,598.43
2025-10-10,662.0,598.0
2025-10-13,663.31,600.65
2025-10-14,664.37,599.43
2025-10-15,664.74,601.12
2025-10-16,662.89,600.33
2025-10-17,664.09,601.99
2025-10-20,665.44,602.0
2025-10-21,666.8,603.05
2025-10-22,665.36,604.5
2025-10-23,666.25,603.06
2025-10-24,665.52,608.16
2025-10-27,665.9,604.18
2025-10-28,669.09,604.56
2025-10-29,670.31,608.86
2025-10-30,668.9,609.0
2025-10-31,670.84,609.45
2025-11-03,670.48,610.16
2025-11-04,669.63,609.88
2025-11-05,671.48,609.23
2025-11-06,673.57,611.42
2025-11-07,672.0,612.0
2025-11-10,674.39,613.83
2025-11-11,669.05,612.46
2025-11-12,673.97,611.76
2025-11-13,673.28,612.88
2025-11-14,673.04,614.34
2025-11-17,673.86,613.19
2025-11-18,671.35,613.13
2025-11-19,674.02,615.11
2025-11-20,675.09,615.46
2025-11-21,676.89,614.64
2025-11-24,674.48,615.04
2025-11-25,674.38,616.46
2025-11-26,675.09,614.22
2025-11-27,677.29,614.62
2025-11-28,676.79,616.02
2025-12-01,675.91,617.14
2025-12-02,677.62,618.3
2025-12-03,677.34,620.44
2025-12-04,678.81,619.83
2025-12-05,676.84,618.59
2025-12-08,677.63,619.15
2025-12-09,677.84,617.97
2025-12-10,676.67,619.84
2025-12-11,679.35,619.76
2025-12-12,679.59,621.05
2025-12-15,679.53,619.61
2025-12-16,679.5,622.04
2025-12-17,678.18,623.96
